cycle_id,scenario_id,scenario_cycle,scenario_name,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before_dataset,packet_size,event_type_dataset,priority_dataset,cm_priority,cm_event_type,cm_main_path,cm_sub_policy,cm_decision,cm_selected_interface,cm_outcome,cm_ack_success,cm_dtn_before,cm_dtn_after,cm_flush_triggered,cm_flush_interface,cm_flush_sent,cm_wifi_scan_done,cm_energy_proxy,runner_lora_ops,runner_wifi_ops,runner_ble_reliable_ops,runner_ble_adv_ops,runner_wifi_maint_ops,runner_total_radio_ops,expected_policy,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,match_interface,match_outcome,match_dtn_after
34,S7,4,LOW battery; noncritical soil; warning-store policy,42,Normal,LOW,0.77,NA,No,NA,No,NA,18,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,18,19,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,19,1,1,1
35,S8,5,CRITICAL battery; store-only protection,38,Normal,CRITICAL,0.86,NA,No,NA,No,NA,24,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,24,25,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,25,1,1,1
36,S5,5,Extreme wet; OK energy; deterministic cascade,92,Extreme_Wet,OK,0.32999999999999996,No,No,NA,No,NA,16,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_store_after_failed_paths,dtn,stored,0,16,17,0,,0,0,1.3,1,1,1,1,0,4,critical_environmental_full_cascade,DTN,Store,Stored,Enqueue,17,1,1,1
37,S10,9,Scheduled WiFi maintenance gating,37,Normal,OK,0.86,Yes,Yes,Yes,No,NA,10,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,10,10,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,10,1,1,1
38,S6,3,Extreme soil event; LOW energy; LoRa-only emergency,94,Extreme_Wet,LOW,0.43,Yes,Yes,NA,Yes,NA,20,96,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_lora_only,lora,success,1,20,20,0,,0,0,1.7,1,0,0,0,0,1,low_energy_critical_lora_only,LORA,Send,Delivered,None,20,1,1,1
39,S9,6,High DTN backlog; OK energy; ANSA-Lite recovery,40,Normal,OK,0.755,Yes,Yes,Yes,No,NA,35,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,35,36,0,,0,0,0.3,0,0,0,0,0,0,normal_lora_plus_ansa_flush,LORA,Send,Delivered,Dequeue,32,0,0,0
40,S2,3,Normal soil; OK energy; poor LoRa history,41,Normal,OK,0.33,No,No,NA,No,NA,2,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,2,3,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_poor_lora,DTN,Store,Stored,Enqueue,3,1,1,1
41,S4,7,Extreme dry; OK energy; deterministic cascade,8,Extreme_Dry,OK,0.34,No,Yes,Yes,No,NA,16,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_wifi_tx,wifi,success,1,16,16,0,,0,0,1.7,1,1,0,0,0,2,critical_environmental_full_cascade,WIFI,Send,Delivered,None,16,1,1,1
42,S3,4,Rainfall/noncritical wet soil with weak LoRa,78,Wet,OK,0.15,No,No,NA,No,NA,6,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,6,7,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,7,1,1,1
43,S4,10,Extreme dry; OK energy; deterministic cascade,8,Extreme_Dry,OK,0.31000000000000005,No,No,NA,No,NA,19,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_store_after_failed_paths,dtn,stored,0,19,20,0,,0,0,1.3,1,1,1,1,0,4,critical_environmental_full_cascade,DTN,Store,Stored,Enqueue,20,1,1,1
44,S5,1,Extreme wet; OK energy; deterministic cascade,92,Extreme_Wet,OK,0.35,No,Yes,Yes,No,NA,12,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_wifi_tx,wifi,success,1,12,12,0,,0,0,1.7,1,1,0,0,0,2,critical_environmental_full_cascade,WIFI,Send,Delivered,None,12,1,1,1
45,S2,9,Normal soil; OK energy; poor LoRa history,37,Normal,OK,0.26,No,No,NA,No,NA,8,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,8,9,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_poor_lora,DTN,Store,Stored,Enqueue,9,1,1,1
46,S7,7,LOW battery; noncritical soil; warning-store policy,40,Normal,LOW,0.74,NA,No,NA,No,NA,21,64,LOW_BATTERY,WARNING,WARNING,LOW_BATTERY,deterministic_event_path,warning_low_battery,warning_store_only,dtn,stored,0,21,22,0,,0,0,0.3,0,0,0,0,0,0,warning_store_policy,DTN,Store,Stored,Enqueue,22,1,1,1
